ko,en
감자분말,Potato Powder
건조감자,Dried Potato
고구마분말,Sweet Potato Powder
건조고구마,Dried Sweet Potato
고춧가루,Red Pepper Powder
구아바잎,Guava Leaf
감귤알맹이,Mandarin Segments
감귤칩,Mandarin Chips
감귤박,Mandarin Pomace
귤꽃,Mandarin Blossom
진피(기계/동전),Dried Mandarin Peel (Machine-cut / Coin)
진피(기계/직각),Dried Mandarin Peel (Machine-cut / Square)
진피(손/직각),Dried Mandarin Peel (Hand-cut / Square)
진피(중탕/직각),Dried Mandarin Peel (Double-boiled / Square)
진피분말,Dried Mandarin Peel Powder
1번녹차,Green Tea (1st Flush)
2번녹차,Green Tea (2nd Flush)
3번녹차,Green Tea (3rd Flush)
건조당근(세절),Dried Carrot (Shredded)
건조당근(분말),Dried Carrot (Powder)
당근박,Carrot Pomace
깐대파,Peeled Welsh Onion
대파후레이크,Welsh Onion Flakes
대파뿌리,Welsh Onion Root
댕유자착즙,Dangyuja Pressed Juice
댕유자껍질,Dangyuja Peel
건조도라지,Dried Balloon Flower Root
도라지분말,Balloon Flower Root Powder
동백꽃,Camellia Flower
동백열매,Camellia Fruit
동백씨,Camellia Seed
동결건조딸기,Freeze-dried Strawberry
딸기분말,Strawberry Powder
레몬슬라이스,Lemon Slices
레몬박(분말),Lemon Pomace (Powder)
마늘(분말),Garlic (Powder)
마루메루껍질,Quince Peel
봄 수확,Spring Harvest
가을 수확,Autumn Harvest
7m무말랭이,Dried Radish Strips (7mm)
8m무말랭이,Dried Radish Strips (8mm)
무청,Radish Greens
방풍나물잎,Peucedanum Leaf
방풍나물뿌리,Peucedanum Root
새싹보리,Barley Sprout
비트즙,Beetroot Juice
산물/진귤,Sunki Mandarin
산물/진귤 껍질(손),Sunki Mandarin Peel (Hand-cut)
풋진귤,Unripe Sunki Mandarin
생강잎/줄기,Ginger Leaf & Stem
유기농생강,Organic Ginger
흙생강,Unwashed Ginger
생강분말,Ginger Powder
유기농생강 잎/줄기,Organic Ginger Leaf & Stem
양파껍질,Onion Skin
양파농축액,Onion Concentrate
유자껍질,Yuzu Peel
이슬송이건조,Dried Iseulsongi Mushroom
이슬송이절단건조,Dried Iseulsongi Mushroom (Sliced)
이슬송이버섯분말,Iseulsongi Mushroom Powder
천혜향껍질,Cheonhyehyang Peel
천혜향껍질(비가열),Cheonhyehyang Peel (Unheated)
천혜향껍질분말,Cheonhyehyang Peel Powder
과루실,Trichosanthes Fruit
과루근,Trichosanthes Root
청귤칩,Green Mandarin Chips
청귤껍질(기계),Green Mandarin Peel (Machine-cut)
청귤박,Green Mandarin Pomace
청귤즙,Green Mandarin Juice
편백나무 건조,Dried Hinoki Cypress
편백나무 오일,Hinoki Cypress Oil
건조표고버섯,Dried Shiitake Mushroom
표고버섯분말,Shiitake Mushroom Powder
한라봉껍질,Hallabong Peel
한라봉껍질분말,Hallabong Peel Powder
해바라기꽃,Sunflower Blossom
해바라기잎/줄기,Sunflower Leaf & Stem
해바라기씨,Sunflower Seed
황금향껍질,Hwanggeumhyang Peel
검둥감태(우도)분말,Dark Ecklonia Kelp Powder (Udo)
넓미역 동결건조,Freeze-dried Broad Wakame
가시엉겅퀴뿌리,Korean Thistle Root
가시엉겅퀴잎,Korean Thistle Leaf
갯방풍잎,Glehnia Leaf
갯방풍뿌리,Glehnia Root
죽순,Bamboo Shoot
더덕줄기,Deodeok Stem
목련꽃봉오리(신이),Magnolia Flower Bud (Sinyi)
백수오 잎,Cynanchum Leaf
백수오뿌리,Cynanchum Root
섬오가피잎,Jeju Acanthopanax Leaf
섬오가피뿌리,Jeju Acanthopanax Root
소나무순,Pine Shoot
맥문동(소엽),Dwarf Liriope Root
예덕나무잎,Mallotus Leaf
예덕나무줄기,Mallotus Stem
황칠분말,Dendropanax Powder
황칠액,Dendropanax Extract
후박나무껍질,Machilus Bark
