id,cat,ko,en,latin,check
M067,농산물,가시두릅,Prickly Castor-oil Tree Shoots,Kalopanax septemlobus,확인필요
M086,농산물,가지,Eggplant,Solanum melongena,
M006,농산물,감자,Potato,Solanum tuberosum,
M068,농산물,겹벚꽃,Double Cherry Blossom,Prunus serrulata f. plena,
M007,농산물,고구마,Sweet Potato,Ipomoea batatas,
M017,농산물,고깔양배추,Pointed Cabbage,Brassica oleracea var. capitata f. acuta,
M008,농산물,고사리,Bracken Fern,Pteridium aquilinum var. latiusculum,
M009,농산물,고추,Red Pepper,Capsicum annuum,
M015,농산물,골드키위,Gold Kiwifruit,Actinidia chinensis,
M011,농산물,구아바,Guava,Psidium guajava,
M010,농산물,귀리,Oat,Avena sativa,
M012,농산물,귤,Satsuma Mandarin,Citrus unshiu,
M013,농산물,그린키위,Green Kiwifruit,Actinidia deliciosa,
M016,농산물,기장,Proso Millet,Panicum miliaceum,
M018,농산물,나한송,Buddhist Pine,Podocarpus macrophyllus,
M019,농산물,녹차,Green Tea,Camellia sinensis,
M020,농산물,늙은호박,Mature Pumpkin,Cucurbita moschata,
M021,농산물,단호박,Kabocha Squash,Cucurbita maxima,
M022,농산물,당근,Carrot,Daucus carota,
M005,농산물,대파,Welsh Onion,Allium fistulosum,
M023,농산물,댕유자,Dangyuja Citron,Citrus grandis,
M024,농산물,도라지,Balloon Flower Root,Platycodon grandiflorus,
M069,농산물,동백,Camellia,Camellia japonica,
M025,농산물,돼지감자,Jerusalem Artichoke,Helianthus tuberosus,
M070,농산물,두릅,Angelica Tree Shoots,Aralia elata,
M071,농산물,들국화,Wild Chrysanthemum,Chrysanthemum boreale,확인필요
M087,농산물,들깨,Perilla,Perilla frutescens,
M027,농산물,딸기,Strawberry,Fragaria x ananassa,
M014,농산물,레드키위,Red Kiwifruit,Actinidia chinensis,
M072,농산물,레몬,Lemon,Citrus limon,
M028,농산물,마늘,Garlic,Allium sativum,
M029,농산물,마루메루,Quince,Cydonia oblonga,확인필요
M003,농산물,머위,Butterbur,Petasites japonicus,
M030,농산물,메밀,Buckwheat,Fagopyrum esculentum,
M032,농산물,무,Korean Radish,Raphanus sativus,
M033,농산물,무화과,Fig,Ficus carica,
M073,농산물,미니밤호박,Mini Chestnut Squash,Cucurbita maxima,
M074,농산물,방풍나물,Coastal Hog Fennel,Peucedanum japonicum,
M075,농산물,백련초,Prickly Pear Cactus,Opuntia ficus-indica,
M076,농산물,뱀딸기,Mock Strawberry,Duchesnea indica,
M077,농산물,벚꽃,Cherry Blossom,Prunus yedoensis,
M035,농산물,병풀,Centella (Gotu Kola),Centella asiatica,
M034,농산물,보리,Barley,Hordeum vulgare,
M037,농산물,부추,Chinese Chive,Allium tuberosum,
M036,농산물,브로콜리,Broccoli,Brassica oleracea var. italica,
M002,농산물,비트,Beetroot,Beta vulgaris,
M038,농산물,산물귤(진귤),Sunki Mandarin,Citrus sunki,
