MaterialID,원물명,영문명,학명,비고
M001,콜라비,Kohlrabi,Brassica oleracea var. gongylodes,
M002,비트,Beetroot,Beta vulgaris,
M003,머위,Butterbur,Petasites japonicus,
M004,청귤,Green (Unripe) Mandarin,Citrus unshiu,확인필요
M005,대파,Welsh Onion,Allium fistulosum,
M006,감자,Potato,Solanum tuberosum,
M007,고구마,Sweet Potato,Ipomoea batatas,
M008,고사리,Bracken Fern,Pteridium aquilinum var. latiusculum,
M009,고추,Red Pepper,Capsicum annuum,
M010,귀리,Oat,Avena sativa,
M011,구아바,Guava,Psidium guajava,
M012,귤,Satsuma Mandarin,Citrus unshiu,
M013,그린키위,Green Kiwifruit,Actinidia deliciosa,
M014,레드키위,Red Kiwifruit,Actinidia chinensis,
M015,골드키위,Gold Kiwifruit,Actinidia chinensis,
M016,기장,Proso Millet,Panicum miliaceum,
M017,고깔양배추,Pointed Cabbage,Brassica oleracea var. capitata f. acuta,
M018,나한송,Buddhist Pine,Podocarpus macrophyllus,
M019,녹차,Green Tea,Camellia sinensis,
M020,늙은호박,Mature Pumpkin,Cucurbita moschata,
M021,단호박,Kabocha Squash,Cucurbita maxima,
M022,당근,Carrot,Daucus carota,
M023,댕유자,Dangyuja Citron,Citrus grandis,
M024,도라지,Balloon Flower Root,Platycodon grandiflorus,
M025,돼지감자,Jerusalem Artichoke,Helianthus tuberosus,
M026,자색돼지감자,Purple Jerusalem Artichoke,Helianthus tuberosus,
M027,딸기,Strawberry,Fragaria x ananassa,
M028,마늘,Garlic,Allium sativum,
M029,마루메루,Quince,Cydonia oblonga,확인필요
M030,메밀,Buckwheat,Fagopyrum esculentum,
M031,쓴메밀,Tartary Buckwheat,Fagopyrum tataricum,
M032,무,Korean Radish,Raphanus sativus,
M033,무화과,Fig,Ficus carica,
M034,보리,Barley,Hordeum vulgare,
M035,병풀,Centella (Gotu Kola),Centella asiatica,
M036,브로콜리,Broccoli,Brassica oleracea var. italica,
M037,부추,Chinese Chive,Allium tuberosum,
M038,산물귤(진귤),Sunki Mandarin,Citrus sunki,
M039,생강,Ginger,Zingiber officinale,
M040,쇠비름,Purslane,Portulaca oleracea,
M041,스테비아,Stevia,Stevia rebaudiana,
M042,시금치,Spinach,Spinacia oleracea,
M043,쑥,Korean Mugwort,Artemisia princeps,
M044,알로에,Aloe Vera,Aloe vera,
M045,양상추,Iceberg Lettuce,Lactuca sativa,
M046,양배추,Cabbage,Brassica oleracea var. capitata,
M047,양파,Onion,Allium cepa,
M048,여주,Bitter Melon,Momordica charantia,
M049,얼갈이배추,Baby Napa Cabbage,Brassica rapa,
M050,우도땅콩,Udo Island Peanut,Arachis hypogaea,
M051,유자,Yuzu Citron,Citrus junos,
M052,유채나물,Rapeseed Greens,Brassica napus,
M053,이슬송이,Iseulsongi Mushroom,Pleurotus ostreatus,확인필요
M054,적채,Red Cabbage,Brassica oleracea var. capitata f. rubra,
M055,제주밭벼(산듸),Jeju Upland Rice (Sandui),Oryza sativa,
M056,조릿대,Jeju Dwarf Bamboo,Sasa quelpaertensis,
M057,참가시나무(이백저),Bamboo-leaf Oak,Quercus salicina,
M058,차요태,Chayote,Sechium edule,
M059,취나물,Aster Greens,Aster scaber,
M060,참나물,Korean Parsley,Pimpinella brachycarpa,
M061,천혜향,Cheonhyehyang Mandarin,Citrus reticulata hybrid,
M062,황금향,Hwanggeumhyang Mandarin,Citrus reticulata hybrid,
M063,천화분(과루),Trichosanthes Root,Trichosanthes kirilowii,
M064,한라봉,Hallabong Mandarin,Citrus reticulata 'Dekopon',
M065,표고버섯,Shiitake Mushroom,Lentinula edodes,
M066,해바라기,Sunflower,Helianthus annuus,
M067,가시두릅,Prickly Castor-oil Tree Shoots,Kalopanax septemlobus,확인필요
M068,겹벚꽃,Double Cherry Blossom,Prunus serrulata f. plena,
M069,동백,Camellia,Camellia japonica,
M070,두릅,Angelica Tree Shoots,Aralia elata,
M071,들국화,Wild Chrysanthemum,Chrysanthemum boreale,확인필요
M072,레몬,Lemon,Citrus limon,
M073,미니밤호박,Mini Chestnut Squash,Cucurbita maxima,
M074,방풍나물,Coastal Hog Fennel,Peucedanum japonicum,
M075,백련초,Prickly Pear Cactus,Opuntia ficus-indica,
M076,뱀딸기,Mock Strawberry,Duchesnea indica,
M077,벚꽃,Cherry Blossom,Prunus yedoensis,
M078,산수국,Mountain Hydrangea,Hydrangea serrata,
M079,연꽃,Lotus,Nelumbo nucifera,
M080,올리브,Olive,Olea europaea,
M081,콩자개,Green Penny Fern,Lemmaphyllum microphyllum,확인필요
M082,편백나무,Hinoki Cypress,Chamaecyparis obtusa,
M083,자색옥수수,Purple Corn,Zea mays,
M084,초당옥수수,Super Sweet Corn,Zea mays var. saccharata,
M085,황옥수수,Yellow Corn,Zea mays,
M086,가지,Eggplant,Solanum melongena,
M087,들깨,Perilla,Perilla frutescens,
M088,코끼리마늘,Elephant Garlic,Allium ampeloprasum,
M089,검둥감태(우도),Dark Ecklonia Kelp (Udo),Ecklonia cava,
M090,감태,Ecklonia Kelp (Gamtae),Ecklonia cava,
M091,괭생이모자반,Devil Weed (Horned Gulfweed),Sargassum horneri,
M092,구멍갈파래,Perforated Sea Lettuce,Ulva pertusa,
M093,넓미역,Broad Wakame (Neolmiyeok),Undariopsis peterseniana,
M094,넓패,Broad Ishige,Ishige sinicola,
M095,다시마(우도),Kombu Kelp (Udo),Saccharina japonica,
M096,도박,Grateloupia Red Alga,Grateloupia sp.,종명확인
M097,돌미역(우도),Wild Sea Mustard (Udo),Undaria pinnatifida,
M098,미역,Sea Mustard (Wakame),Undaria pinnatifida,
M099,미역귀(우도),Wakame Sporophyll (Mekabu / Udo),Undaria pinnatifida,
M100,우뭇가사리(탈색),Agar Weed (Bleached),Gelidium amansii,
M101,딱새우,Jeju Ridgeback Shrimp,Metapenaeopsis dalei,동물성
M102,스피루리나,Spirulina,Arthrospira platensis,
M103,진두발,Irish Moss (Jindubal),Chondrus ocellatus,
M104,청각,Sea Staghorn,Codium fragile,
M105,패,Ishige Brown Alga,Ishige okamurae,
M106,톳,Hijiki,Sargassum fusiforme,
M107,가시뼈대그물말,Spiny Netted Brown Alga,Dictyopteris sp.,종명확인
M108,경단구슬모자반,Beaded Gulfweed,Sargassum muticum,종명확인
M109,고리매,Soda Straw Weed,Scytosiphon lomentaria,
M110,꼬인바위수염,Twisted Rock Whisker,Myelophycus sp.,종명확인
M111,꽈배기모자반,Twisted Gulfweed,Sargassum sp.,종명확인
M112,모자반,Gulfweed (Mojaban),Sargassum fulvellum,
M113,미역쇠,Sea Petal,Petalonia binghamiae,
M114,바위두둑,Rock Ridge Brown Alga,Chnoospora sp.,종명확인
M115,반주름말,Half-wrinkled Brown Alga,Dictyopteris sp.,종명확인
M116,반질불레기말,Smooth Oyster Thief,Colpomenia sp.,종명확인
M117,부챗말,Peacock's Tail,Padina arborescens,
M118,불레기말,Oyster Thief,Colpomenia sinuosa,
M119,쌍발이모자반,Twin-branched Gulfweed,Sargassum sp.,종명확인
M120,아롱부챗말(분부챗말),Mottled Peacock's Tail,Padina sp.,종명확인
M121,알쏭이모자반,Mottled Gulfweed,Sargassum sp.,종명확인
